,id,title,overview,popularity,release_date,vote_average,vote_count,genre_ids,genres,actors,director,log_popularity,popularity_bin,degree
12,1051896,Arcadian,"In the near future, on a decimated Earth, Paul and his twin sons face terror at night when ferocious creatures awaken. When Paul is nearly killed, the boys come up with a plan for survival, using everything their father taught them to keep him alive.",847.405,2024-04-12,6.1,438,"[28, 27, 53, 878]","['Action', 'Horror', 'Thriller', 'Science Fiction']","['Nicolas Cage', 'Jaeden Martell', 'Maxwell Jenkins', 'Sadie Soverall', 'Samantha Coughlan']",Benjamin Brewer,6.743358116119649,Top,12
13,1100856,Whisper of the Witch,"Mara, an ancient pagan spirit, hunts a group of teenagers taking their body parts to be reborn. A disillusioned and desperate investigator has to face his deepest fears to save the teenagers.",688.188,2024-06-13,6.545,11,"[27, 53]","['Horror', 'Thriller']","['Arthur Beschastny', 'Maryana Spivak', 'Sofya Shidlovskaya', 'Igor Grabuzov', 'Sergey Safronov']",Serik Beyseu,6.535514093010608,Top,10
14,1116490,Cash Out,"Criminal mastermind Mason is about to execute the score of a lifetime when his lover and key member of his crew, Decker, takes the team down and reveals she’s an undercover Interpol agent. Heartbroken, Mason escapes and retires from the life of crime until his younger brother Shawn is out of his league taking on a big bank heist all on his own. Mason has no choice left but to come to the rescue, while Interpol brings Decker in hoping to unnerve him. Before the SWAT teams storm the bank, Mason must use every tool in his arsenal to not only escape with the prize, but also the love of his life.",735.804,2024-04-26,6.255,110,"[28, 53]","['Action', 'Thriller']","['John Travolta', 'Kristin Davis', 'Lukas Haas', 'Quavo', 'Joel Cohen']",Randall Emmett,6.602321913808011,Top,10
15,335983,Venom,"Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own.",728.794,2018-09-28,6.834,15972,"[878, 28]","['Science Fiction', 'Action']","['Tom Hardy', 'Michelle Williams', 'Riz Ahmed', 'Scott Haze', 'Reid Scott']",Ruben Fleischer,6.592762302538022,Top,10
16,1084736,The Count of Monte-Cristo,"Edmond Dantes becomes the target of a sinister plot and is arrested on his wedding day for a crime he did not commit. After 14 years in the island prison of Château d’If, he manages a daring escape. Now rich beyond his dreams, he assumes the identity of the Count of Monte-Cristo and exacts his revenge on the three men who betrayed him.",708.688,2024-06-28,8.243,865,"[28, 12, 18, 36, 10749, 53]","['Action', 'Adventure', 'Drama', 'History', 'Romance', 'Thriller']","['Pierre Niney', 'Bastien Bouillon', 'Anaïs Demoustier', 'Anamaria Vartolomei', 'Laurent Lafitte']",Alexandre de La Patellière,6.5648254368350765,Top,14
17,1022789,Inside Out 2,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",731.716,2024-06-11,7.589,4758,"[16, 10751, 12, 35, 18]","['Animation', 'Family', 'Adventure', 'Comedy', 'Drama']","['Amy Poehler', 'Maya Hawke', 'Kensington Tallman', 'Liza Lapira', 'Tony Hale']",Kelsey Mann,6.596758177968574,Top,13
18,1142518,Freedom,"Inspired by the true events of one of France's most notorious non-violent robbers, Bruno Sulak, in the 1980s. He led multiple heists, then captured public attention for his many daring escapes from police custody...always to reunite with his beloved lover and accomplice Annie, becoming both France's Public Enemy #1 and an icon of Freedom.",844.356,2024-11-01,6.6,55,"[28, 10749, 18]","['Action', 'Romance', 'Drama']","['Lucas Bravo', 'Yvan Attal', 'Léa Luce Busato', 'Steve Tientcheu', 'David Ayala']",Mélanie Laurent,6.739757840409648,Top,11
19,1041317,Battle for the Western Front,"Inspired by Canuck WWI flying ace Billy Bishop, two young soldiers crash the front lines in August 1918. With the Allies detained, their platoon must desperately hold out alongside legendary Anishinaabe sniper Francis ""Peggy"" Pegahmagabow.",732.627,2022-10-06,3.2,3,[10752],['War'],"['Michael Lake', 'Christopher Cordell', 'Sylvain Plasse', 'Somerville Black', 'Aaron Huggett']",Aaron Huggett,6.598000725063231,Top,9
20,1196470,Survive,A couple celebrates their son’s birthday in the middle of the ocean on their boat. A violent storm hits and it brings up hungry creatures from the depths and they fight for their survival.,626.089,2024-06-19,5.595,58,"[53, 12, 28, 878]","['Thriller', 'Adventure', 'Action', 'Science Fiction']","['Andreas Pietschmann', 'Émilie Dequenne', 'Lucas Ebel', 'Arben Bajraktaraj', 'Lisa Delamar']",Frédéric Jardin,6.441088476333097,Top,12
21,1029235,Azrael,"In a world where no one speaks, a devout female hunts down a young woman who has escaped her imprisonment. Recaptured by its ruthless leaders, Azrael is due to be sacrificed to pacify an ancient evil deep within the surrounding wilderness.",587.624,2024-09-27,6.122,131,"[28, 27, 53]","['Action', 'Horror', 'Thriller']","['Samara Weaving', 'Vic Carmen Sonne', 'Katariina Unt', 'Peter Christoffersen', 'Nathan Stewart-Jarrett']",E.L. Katz,6.37778760968778,Top,11
22,791042,Levels,"After witnessing his girlfriend's murder, a man risks everything - including reality itself - to discover the truth.",1051.501,2024-11-01,5.8,14,"[28, 878, 53]","['Action', 'Science Fiction', 'Thriller']","['Cara Gee', 'Peter Mooney', 'Aaron Abrams', 'David Hewlett', 'Amanda Tapping']",Adam Stern,6.95892451567485,Top,11
23,580489,Venom: Let There Be Carnage,"After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.",561.646,2021-09-30,6.8,10196,"[878, 28, 12]","['Science Fiction', 'Action', 'Adventure']","['Tom Hardy', 'Woody Harrelson', 'Michelle Williams', 'Naomie Harris', 'Reid Scott']",Andy Serkis,6.332650655955415,Top,11
24,98,Gladiator,"In the year 180, the death of Emperor Marcus Aurelius throws the Roman Empire into chaos. Maximus is one of the Roman army's most capable and trusted generals, as well as a key advisor to the emperor. As Marcus' devious son Commodus ascends to the throne, Maximus is sentenced to execution. He escapes but is captured by slave traders. Renamed ""Spaniard"" and forced to become a gladiator, Maximus must battle to the death against other men for the amusement of paying audiences.",599.32,2000-05-04,8.216,18611,"[28, 18, 12]","['Action', 'Drama', 'Adventure']","['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen', 'Oliver Reed', 'Richard Harris']",Ridley Scott,6.397462846377805,Top,11
25,179387,Heavenly Touch,"Jonard is having trouble making ends meet. His mother is suffering from depression, and he and his sister are forced to quit school in order to take care of her. One day, Jonard meets up his friend Rodel, and Rodel introduces him to the world of massage parlors. Rodel teaches him massage, and brings him to Heavenly Touch, a syndicate-run massage parlor that mostly caters to homosexuals.",880.664,2009-05-12,6.477,22,"[18, 10749]","['Drama', 'Romance']","['Paolo Serrano', 'Joash Balejado', 'Marco Morales', 'Gwen Garci', 'Paolo Rivero']",Joel Lamangan,6.781811031045047,Top,10
26,889737,Joker: Folie à Deux,"While struggling with his dual identity, Arthur Fleck not only stumbles upon true love, but also finds the music that's always been inside him.",500.077,2024-10-01,5.607,1608,"[18, 80, 53]","['Drama', 'Crime', 'Thriller']","['Joaquin Phoenix', 'Lady Gaga', 'Brendan Gleeson', 'Catherine Keener', 'Zazie Beetz']",Todd Phillips,6.2167597818901355,Top,11
27,1094974,Take Cover,A burned-out professional sniper finds himself trapped in an all-glass penthouse by a lethal competitor and must find a way to survive and escape with little to no cover between him and the killer.,543.731,2024-10-04,7.053,57,"[28, 53]","['Action', 'Thriller']","['Scott Adkins', 'Alice Eve', 'Jack Parr', 'Billy Clements', 'Mădălina Bellariu Ion']",Nick McKinless,6.300292094831884,Top,10
28,1371727,Sing: Thriller,"Buster Moon dreams up a star-studded spectacle set to Michael Jackson's ""Thriller"" in this animated short featuring characters from the hit ""Sing"" films.",450.644,2024-10-16,7.298,94,"[16, 10751, 35, 27]","['Animation', 'Family', 'Comedy', 'Horror']","['Matthew McConaughey', 'Tori Kelly', 'Nick Kroll', 'Scarlett Johansson', 'Taron Egerton']",Garth Jennings,6.1128942588845625,Top,12
29,976734,Canary Black,"Top level CIA agent Avery Graves is blackmailed by terrorists into betraying her own country to save her kidnapped husband. Cut off from her team, she turns to her underworld contacts to survive and help locate the coveted intelligence that the kidnappers want.",520.741,2024-10-10,6.305,243,"[28, 53, 80]","['Action', 'Thriller', 'Crime']","['Kate Beckinsale', 'Rupert Friend', 'Saffron Burrows', 'Ray Stevenson', 'Goran Kostić']",Pierre Morel,6.2571712961679005,Top,11
30,1214484,Let Go,A jaded mother makes a last-ditch effort to keep her family together by taking them on a trip to their teenage daughter’s pole dancing competition.,488.297,2024-11-01,8.068,170,[18],['Drama'],"['Josephine Bornebusch', 'Pål Sverre Hagen', 'Sigrid Johnson', 'Olle Tikkakoski Lundström', 'Leon Mentori']",Josephine Bornebusch,6.192969667068434,Top,9
31,1287717,Do Not Enter,"Two working class youtubers ‘in the making’ enter an abandoned mansion to get their basketball back, and get lost inside while pranking each other. They record their ‘quick adventure’ with their phones for their audience, and tweak it with a fake phantom appearance to attract more followers to their YouTube channel. When uploaded the video goes viral, so they start a challenge: if the video reaches a certain number of views, they will enter the house again, at night, alone, totally unprotected. As fans react positively, they will do as promised, not only to discover and unveil the true nature of the place and their inhabitants, but to realize they might not be among the living anymore. Which opens a question - how far would you go to be famous?",442.513,2024-08-06,7.662,71,[27],['Horror'],"['Pablo Martínez', 'Lucas Caballero', 'Rafael Alfaro', 'Lara Chamorro', 'Andy Romero']",Hugo Cardozo,6.09472711360865,Top,9
