,id,title,overview,popularity,release_date,vote_average,vote_count,genre_ids,genres
1275,396422,Annabelle: Creation,"Several years after the tragic death of their little girl, a doll maker and his wife welcome a nun and several girls from a shuttered orphanage into their home, soon becoming the target of the doll maker's possessed creation—Annabelle.",44.975,2017-08-03,6.592,5579,[27],['Horror']
1276,800345,Carter,"Carter, who awakens two months into a deadly pandemic originating from the DMZ that has already devastated US and North Korea. He who has no recollections of his past finds a mysterious device in his head, and a lethal bomb in his mouth. A voice in his ears gives him orders to avoid getting killed and he's thrown into a mysterious operation while the CIA and North Korean coup chase him close.",54.768,2022-08-05,6.0,367,"[28, 53, 80]","['Action', 'Thriller', 'Crime']"
1277,11470,Jason X,"In the year 2455, Old Earth is now a contaminated planet abandoned for centuries -- a brown world of violent storms, toxic landmasses and poisonous seas. Yet humans have returned to the deadly place that they once fled, not to live, but to research the ancient, rusting artifacts of the long-gone civilizations. But it's not the harmful environment that could prove fatal to the intrepid, young explorers who have just landed on Old Earth. For them, it's Friday the 13th, and Jason lives!",54.747,2001-11-09,4.9,1347,"[27, 878]","['Horror', 'Science Fiction']"
1278,168530,Ride Along,"For the past two years, high-school security guard Ben has been trying to show decorated APD detective James that he's more than just a video-game junkie who's unworthy of James' sister, Angela. When Ben finally gets accepted into the academy, he thinks he's earned the seasoned policeman's respect and asks for his blessing to marry Angela. Knowing that a ride along will demonstrate if Ben has what it takes to take care of his sister, James invites him on a shift designed to scare the hell out of the trainee. But when the wild night leads them to the most notorious criminal in the city, James will find that his new partner's rapid-fire mouth is just as dangerous as the bullets speeding at it.",54.729,2014-01-07,6.253,2229,"[28, 35]","['Action', 'Comedy']"
1279,1690,Hostel,"Three backpackers head to a Slovakian city that promises to meet their hedonistic expectations, with no idea of the hell that awaits them.",54.683,2005-09-17,6.0,3584,[27],['Horror']
1280,184315,Hercules,"When a new enemy threatens the innocent, Hercules must lead his fearless team of warriors in a battle against overwhelming odds.",75.481,2014-07-23,5.8,4040,"[28, 12]","['Action', 'Adventure']"
1281,620,Ghostbusters,"After losing their academic posts at a prestigious university, a team of parapsychologists goes into business as proton-pack-toting ""ghostbusters"" who exterminate ghouls, hobgoblins and supernatural pests of all stripes. An ad campaign pays off when a knockout cellist hires the squad to purge her swanky digs of demons that appear to be living in her refrigerator.",42.581,1984-06-08,7.489,8897,"[35, 14]","['Comedy', 'Fantasy']"
1282,423,The Pianist,"The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.",75.407,2002-09-17,8.4,9148,"[18, 10752]","['Drama', 'War']"
1283,796,Cruel Intentions,"Slaking a thirst for dangerous games, Kathryn challenges her stepbrother, Sebastian, to deflower their headmaster's daughter before the summer ends. If he succeeds, the prize is the chance to bed Kathryn. But if he loses, Kathryn will claim his most prized possession.",49.077,1999-03-05,6.802,3235,"[18, 10749]","['Drama', 'Romance']"
1284,289225,Love Finds You In Sugarcreek,Will a mysterious stranger's past wreak havoc on a quiet Amish community after they've opened their doors -- and hearts -- to him and his son?,35.147,2014-06-01,6.2,44,"[18, 10770, 10751, 9648]","['Drama', 'TV Movie', 'Family', 'Mystery']"
1285,317442,The Last: Naruto the Movie,"Two years after the events of the Fourth Great Ninja War, the moon that Hagoromo Otsutsuki created long ago to seal away the Gedo Statue begins to descend towards the world, threatening to become a meteor that would destroy everything on impact. Amidst this crisis, a direct descendant of Kaguya Otsutsuki named Toneri Otsutsuki attempts to kidnap Hinata Hyuga but ends up abducting her younger sister Hanabi. Naruto and his allies now mount a rescue mission before finding themselves embroiled in a final battle to decide the fate of everything.",56.573,2014-12-06,7.4,2221,"[28, 10749, 16]","['Action', 'Romance', 'Animation']"
1286,406759,Moonfall,A mysterious force knocks the moon from its orbit around Earth and sends it hurtling on a collision course with life as we know it.,53.558,2022-02-03,6.3,3100,"[878, 12, 28]","['Science Fiction', 'Adventure', 'Action']"
1287,752,V for Vendetta,"In a world in which Great Britain has become a fascist state, a masked vigilante known only as “V” conducts guerrilla warfare against the oppressive British government. When V rescues a young woman from the secret police, he finds in her an ally with whom he can continue his fight to free the people of Britain.",39.29,2006-02-23,7.897,14410,"[28, 53, 878]","['Action', 'Thriller', 'Science Fiction']"
1288,924,Dawn of the Dead,"A group of survivors take refuge in a shopping mall after the world is taken over by aggressive, flesh-eating zombies.",49.783,2004-03-19,7.054,3981,"[28, 27, 878]","['Action', 'Horror', 'Science Fiction']"
1289,10386,The Iron Giant,"In the small town of Rockwell, Maine in October 1957, a giant metal machine befriends a nine-year-old boy and ultimately finds its humanity by unselfishly saving people from their own fears and prejudices.",45.283,1999-08-06,7.9,5570,"[10751, 16, 878, 12]","['Family', 'Animation', 'Science Fiction', 'Adventure']"
1290,268896,Pacific Rim: Uprising,"It has been ten years since The Battle of the Breach and the oceans are still, but restless. Vindicated by the victory at the Breach, the Jaeger program has evolved into the most powerful global defense force in human history. The PPDC now calls upon the best and brightest to rise up and become the next generation of heroes when the Kaiju threat returns.",74.932,2018-03-21,6.1,4911,"[28, 14, 878, 12]","['Action', 'Fantasy', 'Science Fiction', 'Adventure']"
